id,confidence,xmin,ymin,xmax,ymax
Faces32.xml,1,78,186,211,371
Faces321.xml,1,103,110,210,256
Faces324.xml,1,114,51,201,158
Faces326.xml,1,71,84,241,311
Faces328.xml,1,94,73,251,253
Faces329.xml,1,178,46,267,168
Faces330.xml,1,104,66,211,196
Faces331.xml,1,80,165,208,305
Faces337.xml,1,177,64,270,158
Faces339.xml,1,165,71,254,177
Faces342.xml,1,154,88,323,295
Faces343.xml,1,127,164,270,365
Faces344.xml,1,79,117,248,333
Faces345.xml,1,110,61,209,178
Faces346.xml,1,64,105,254,320
Faces347.xml,1,106,110,264,271
Faces35.xml,1,72,71,195,231
Faces354.xml,1,144,107,240,231
Faces356.xml,1,69,95,198,236
Faces359.xml,1,84,60,222,223
Faces36.xml,1,163,59,254,181
Faces362.xml,1,63,146,280,330
Faces363.xml,1,98,59,194,202
Faces364.xml,1,24,63,325,435
Faces365.xml,1,75,117,242,316
Faces368.xml,1,135,81,222,184
Faces369.xml,1,94,50,322,280
Faces370.xml,1,159,33,224,117
Faces372.xml,1,82,80,310,376
Faces374.xml,1,73,120,283,345
Faces376.xml,1,182,52,265,151
Faces377.xml,1,145,50,254,189
Faces378.xml,1,87,73,177,163
Faces379.xml,1,162,82,254,181
Faces38.xml,1,188,68,270,171
Faces383.xml,1,114,89,221,225
Faces385.xml,1,123,47,212,136
Faces386.xml,1,82,131,178,240
Faces387.xml,1,39,38,128,158
Faces388.xml,1,64,91,191,266
Faces39.xml,1,80,101,229,303
Faces392.xml,1,146,150,233,236
Faces393.xml,1,102,31,188,146
Faces394.xml,1,50,132,232,333
Faces395.xml,1,117,86,212,233
Faces396.xml,1,43,99,246,341
Faces397.xml,1,185,155,308,295
Faces398.xml,1,98,65,195,174
Faces40.xml,1,191,95,287,209
Faces400.xml,1,113,89,213,211
Faces403.xml,1,109,66,238,213
Faces405.xml,1,68,143,254,369
Faces406.xml,1,307,46,382,152
Faces407.xml,1,82,57,268,280
Faces408.xml,1,220,45,298,140
Faces409.xml,1,62,125,275,406
Faces410.xml,1,66,133,233,329
Faces411.xml,1,207,142,297,232
Faces413.xml,1,63,124,279,353
Faces414.xml,1,107,91,208,229
Faces417.xml,1,132,54,231,180
Faces418.xml,1,53,83,200,257
Faces419.xml,1,136,141,308,339
Faces42.xml,1,130,144,261,289
Faces420.xml,1,65,95,231,315
Faces421.xml,1,227,78,325,185
Faces422.xml,1,306,49,373,130
Faces424.xml,1,58,66,222,274
Faces428.xml,1,145,36,304,245
Faces429.xml,1,45,134,239,354
Faces431.xml,1,54,93,263,317
Faces432.xml,1,232,64,321,161
Faces435.xml,1,162,109,284,271
Faces437.xml,1,136,58,259,213
Faces438.xml,1,254,78,380,240
Faces441.xml,1,101,105,248,292
Faces444.xml,1,118,58,207,163
Faces445.xml,1,135,51,193,134
Faces446.xml,1,248,43,391,244
Faces447.xml,1,38,44,138,158
Faces450.xml,1,88,130,160,219
Faces452.xml,1,94,27,161,126
Faces453.xml,1,114,48,184,123
Faces456.xml,1,117,65,266,228
Faces457.xml,1,102,49,158,120
Faces458.xml,1,107,63,211,204
Faces459.xml,1,121,108,263,284
Faces46.xml,1,98,114,232,327
Faces460.xml,1,138,144,286,338
Faces461.xml,1,206,69,397,296
Faces462.xml,1,169,75,300,240
Faces463.xml,1,96,53,174,152
Faces464.xml,1,217,49,318,193
Faces465.xml,1,48,100,252,361
Faces467.xml,1,121,50,229,171
Faces47.xml,1,63,51,184,185
Faces471.xml,1,85,77,231,248
Faces472.xml,1,47,69,225,264
Faces473.xml,1,7,168,247,431
Faces475.xml,1,242,76,336,181
Faces476.xml,1,166,77,275,206
Faces480.xml,1,76,55,180,196
Faces482.xml,1,125,102,261,271
Faces483.xml,1,52,69,213,265
Faces484.xml,1,98,91,243,277
Faces487.xml,1,176,114,295,275
Faces488.xml,1,138,89,276,262
Faces49.xml,1,76,138,267,350
Faces492.xml,1,63,113,230,291
Faces493.xml,1,101,60,198,192
Faces494.xml,1,134,108,253,262
Faces495.xml,1,96,78,213,257
Faces499.xml,1,74,82,252,251
Faces50.xml,1,111,92,271,260
Faces500.xml,1,109,67,211,223
Faces501.xml,1,188,62,287,167
Faces503.xml,1,144,41,409,320
Faces506.xml,1,74,49,146,125
Faces509.xml,1,124,119,267,262
Faces511.xml,1,66,122,278,353
Faces514.xml,1,80,138,307,377
Faces515.xml,1,107,67,195,178
Faces517.xml,1,144,108,246,234
Faces518.xml,1,200,120,289,222
Faces519.xml,1,104,83,229,220
Faces52.xml,1,63,197,254,436
Faces520.xml,1,89,129,314,384
Faces522.xml,1,45,94,287,351
Faces523.xml,1,77,94,214,248
Faces524.xml,1,101,108,236,272
Faces528.xml,1,83,142,236,307
Faces529.xml,1,126,59,258,235
Faces53.xml,1,190,73,275,165
Faces530.xml,1,154,89,271,223
Faces532.xml,1,52,54,286,312
Faces533.xml,1,58,142,244,363
Faces534.xml,1,79,7,190,167
Faces535.xml,1,94,74,174,174
Faces536.xml,1,305,71,414,191
Faces537.xml,1,85,189,208,332
Faces539.xml,1,102,106,247,285
Faces54.xml,1,146,66,228,177
Faces543.xml,1,96,91,286,309
Faces544.xml,1,66,25,132,119
Faces545.xml,1,59,47,264,346
Faces546.xml,1,130,104,230,221
Faces548.xml,1,89,75,217,234
Faces55.xml,1,61,101,278,347
Faces550.xml,1,189,148,293,277
Faces553.xml,1,295,35,362,129
Faces554.xml,1,192,80,267,169
Faces555.xml,1,51,53,225,332
Faces556.xml,1,201,80,285,183
Faces558.xml,1,72,143,215,335
Faces563.xml,1,127,93,237,205
Faces564.xml,1,153,60,236,140
Faces565.xml,1,112,86,215,218
Faces567.xml,1,101,36,172,138
Faces569.xml,1,43,113,236,341
Faces571.xml,1,106,45,195,170
Faces575.xml,1,189,55,268,139
Faces576.xml,1,110,56,196,168
Faces578.xml,1,57,80,222,295
Faces580.xml,1,144,40,236,154
Faces581.xml,1,41,124,262,354
Faces582.xml,1,67,89,241,293
Faces585.xml,1,134,105,282,275
Faces588.xml,1,112,206,197,317
Faces589.xml,1,201,99,274,197
Faces592.xml,1,177,72,257,170
Faces596.xml,1,192,61,291,202
Faces597.xml,1,100,87,215,223
Faces598.xml,1,46,134,270,399
Faces6.xml,1,112,60,197,158
Faces601.xml,1,35,148,242,377
Faces603.xml,1,177,59,273,190
Faces604.xml,1,99,51,210,172
Faces605.xml,1,136,82,218,173
Faces606.xml,1,105,76,216,197
Faces608.xml,1,104,60,205,172
Faces609.xml,1,74,113,240,305
Faces613.xml,1,49,80,218,306
Faces614.xml,1,91,111,292,342
Faces615.xml,1,185,81,272,198
Faces616.xml,1,173,128,277,262
Faces619.xml,1,75,109,270,368
Faces62.xml,1,192,152,353,315
Faces620.xml,1,191,92,303,191
Faces621.xml,1,164,33,238,122
Faces622.xml,1,113,124,229,276
Faces623.xml,1,74,59,179,187
Faces624.xml,1,55,130,237,364
Faces626.xml,1,42,139,235,335
Faces628.xml,1,41,139,260,367
Faces629.xml,1,52,85,248,337
Faces630.xml,1,86,112,262,351
Faces631.xml,1,126,44,228,168
Faces632.xml,1,72,49,181,171
Faces633.xml,1,27,118,250,386
Faces640.xml,1,99,108,268,268
Faces642.xml,1,161,62,254,184
Faces644.xml,1,120,86,258,247
Faces645.xml,1,106,38,177,137
Faces646.xml,1,106,62,217,203
Faces647.xml,1,135,103,306,281
Faces648.xml,1,100,60,263,305
Faces649.xml,1,92,81,216,221
Faces651.xml,1,60,68,232,260
Faces653.xml,1,34,68,155,212
Faces655.xml,1,62,74,144,190
Faces656.xml,1,95,108,249,279
Faces657.xml,1,110,41,192,145
Faces658.xml,1,72,120,268,330
Faces66.xml,1,131,35,240,181
Faces660.xml,1,92,63,196,209
Faces661.xml,1,126,127,221,252
Faces662.xml,1,61,142,176,277
Faces664.xml,1,47,115,270,381
Faces665.xml,1,78,75,271,320
Faces667.xml,1,66,126,243,352
Faces67.xml,1,48,132,255,356
Faces670.xml,1,73,46,237,250
Faces671.xml,1,104,64,186,183
Faces674.xml,1,47,90,209,325
Faces675.xml,1,247,74,369,201
Faces679.xml,1,118,86,270,265
Faces68.xml,1,119,133,212,257
Faces681.xml,1,106,72,200,175
Faces682.xml,1,145,77,203,145
Faces684.xml,1,129,112,315,417
Faces687.xml,1,117,27,217,151
Faces688.xml,1,62,70,263,315
Faces689.xml,1,154,87,242,181
Faces690.xml,1,69,52,160,140
Faces691.xml,1,66,79,238,307
Faces692.xml,1,254,60,300,118
Faces693.xml,1,71,87,236,278
Faces694.xml,1,95,100,232,275
Faces695.xml,1,103,65,200,177
Faces696.xml,1,63,57,176,162
Faces70.xml,1,160,28,236,121
Faces700.xml,1,75,93,183,229
Faces702.xml,1,106,105,254,281
Faces703.xml,1,195,55,308,180
Faces704.xml,1,74,62,149,137
Faces705.xml,1,171,87,238,175
Faces706.xml,1,184,64,262,166
Faces707.xml,1,185,44,269,144
Faces708.xml,1,87,74,248,261
Faces709.xml,1,92,59,212,245
Faces71.xml,1,98,56,232,236
Faces710.xml,1,187,72,265,170
Faces711.xml,1,64,130,277,399
Faces713.xml,1,165,98,254,223
Faces714.xml,1,129,95,303,254
Faces715.xml,1,104,41,170,116
Faces717.xml,1,79,94,310,424
Faces718.xml,1,115,91,224,209
Faces72.xml,1,143,100,298,280
Faces720.xml,1,53,84,220,296
Faces721.xml,1,77,62,267,328
Faces722.xml,1,131,78,229,209
Faces723.xml,1,177,138,277,284
Faces724.xml,1,118,103,268,263
Faces726.xml,1,107,143,299,368
Faces727.xml,1,86,78,248,273
Faces729.xml,1,167,96,276,240
Faces74.xml,1,88,99,311,336
Faces76.xml,1,57,83,232,331
Faces78.xml,1,98,99,274,326
Faces79.xml,1,180,71,265,190
Faces80.xml,1,110,82,219,239
Faces84.xml,1,112,64,203,198
Faces85.xml,1,77,94,232,307
Faces86.xml,1,121,78,318,423
Faces87.xml,1,153,85,229,175
Faces88.xml,1,177,93,256,204
Faces89.xml,1,34,149,252,402
Faces9.xml,1,91,206,194,338
Faces90.xml,1,199,63,328,221
Faces91.xml,1,62,88,182,222
Faces92.xml,1,43,135,233,371
Faces94.xml,1,58,114,255,355
Faces95.xml,1,130,51,239,212
Faces97.xml,1,15,68,267,373
Faces98.xml,1,249,29,330,140
Faces99.xml,1,71,57,180,190
